question,answer,level
Write a Python program to get the volume of a sphere with radius 6,904.7,easy
"Write a Python program to get the difference between a given number and 17, if the number is greater than 17 return double the absolute difference.",10 3,medium
Write a Python program to test whether a number is within 100 of 1000 or 2000.,True,hard
Write a program in C++ to print Hello World.,Hello World,easy
Write a program in C++ to print the sum of 29 and 30.,59,medium
Write a program in C++ to print the sum of elements in a given array  arr[] = {1 2 3},6,hard
Write a program in C++ to swap two numbers 1st number : 25 and 2nd number : 39,39 25,medium
Write a program in C++ to calculate the volume of a cylinder radius of the cylinder : 6 and height of the cylinder : 8,904.32,hard
Given variables x=30 and y=20 write a Python program to print "30+20=50".,30+20=50,easy

